# Wordlist

# META
@vowels:T V _
@json: {"params": {"cscorer": {"ratio": [2, 1], "vscale": 1.0, "runs": 1000, "scoring_threshold": 0.7, "preprocessing_threshold": 0.7, "modestring": "global-2-0.50:local-1-0.50", "factor": 0.3, "restricted_chars": "_T", "method": "shuffle", "preprocessing": "False:upgma:-2", "unattested": -5, "unexpected": 1e-05, "smooth": 1}, "cluster": "lexstat_upgma_0.50"}}

# DATA
ID	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	LEXSTATID
#
120	Blemmye, name of a people dwelling in the Christian period on the East of the Nile south of Philae, known for their bluffing	ⲃⲁⲗϩⲙⲟⲩ	balhmou	COPTIC	11	b a l h m ou	1 7 5 3 4 7	AXMBCZ	PALHMU	1	1.P.C 1.A.V 1.L.c 1.H.C 1.M.C 1.U.V	2.0 1.5 1.1 1.75 1.5 0.8	0	1
#
36	a bird	هيبه	hēba	EGYPTIAN ARABIC	36	h ē b a	3 7 1 7	AXBZ	HEPA	2	2.H.C 2.E.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	2
#
100	a brick	طوبه	tūba	EGYPTIAN ARABIC	100	t ū b a	1 7 1 7	AXBZ	TYPA	2	2.T.C 2.Y.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	3
209	a brick	ⲧⲱⲃⲉ	tōbe	COPTIC	100	t ō b e	1 7 1 7	AXBZ	TUPE	1	1.T.C 1.U.V 1.P.C 1.E.V	2.0 1.5 1.75 0.8	0	3
#
43	a call for help	جي	jay	EGYPTIAN ARABIC	43	j ay	6 7	AX	JA	2	2.J.C 2.A.V	2.0 1.5	0	4
#
19	a call of welcome during country weddings	بشوبش	bshōbesh	EGYPTIAN ARABIC	19	b s h ō b e s h	1 3 3 7 1 7 3 3	ACBXBYLN	PSHUPESH	2	2.P.C 2.S.C 2.H.C 2.U.V 2.P.C 2.E.V 2.S.c 2.H.c	2.0 1.5 1.75 1.5 1.75 1.3 1.1 0.8	0	5
#
163	a crown	ⲗⲱⲃϣ	lōbsh	COPTIC	54	l ō b s h	5 7 1 3 3	AXBCN	LUPSH	1	1.L.C 1.U.V 1.P.C 1.S.C 1.H.c	2.0 1.5 1.75 1.5 0.8	0	6
#
29	a fish	قشوه	gashwa	EGYPTIAN ARABIC	29	g a s h w a	1 7 3 3 6 7	AXMBCZ	KASHWA	2	2.K.C 2.A.V 2.S.c 2.H.C 2.W.C 2.A.V	2.0 1.5 1.1 1.75 1.5 0.8	0	8
139	a fish	ⲕⲏⲗ	kēl	COPTIC	30	k ē l	1 7 5	AXN	KEL	1	1.K.C 1.E.V 1.L.c	2.0 1.5 0.8	0	7
#
3	a game of pebbles	آل	al	EGYPTIAN ARABIC	3	a l	7 5	XN	AL	2	2.A.V 2.L.c	1.5 0.8	0	9
#
106	a grain measure (two kēlas or one-sixth of an 'ardab)	ويبه	wēba	EGYPTIAN ARABIC	106	w ē b a	6 7 1 7	AXBZ	WEPA	2	2.W.C 2.E.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	10
#
76	a kick	شلوت	shallūt	EGYPTIAN ARABIC	76	s h a ll ū t	3 3 7 5 7 1	ACYBYN	SHALYT	2	2.S.C 2.H.C 2.A.V 2.L.C 2.Y.V 2.T.c	2.0 1.5 1.3 1.75 1.3 0.8	0	11
#
20	a kind of fish	بوري	būrī	EGYPTIAN ARABIC	20	b ū r ī	1 7 5 7	AXBZ	PYRI	2	2.P.C 2.Y.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	0	12
30	a kind of fish	قيل	gīl	EGYPTIAN ARABIC	30	g ī l	1 7 5	AXN	KIL	2	2.K.C 2.I.V 2.L.c	2.0 1.5 0.8	0	13
51	a kind of fish	لبيس	labīs	EGYPTIAN ARABIC	51	l a b ī s	5 7 1 7 3	AXBYN	LAPIS	2	2.L.C 2.A.V 2.P.C 2.I.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	14
69	a kind of fish	راى	rāy	EGYPTIAN ARABIC	69	r ā y	5 7 7	AXZ	RAY	2	2.R.C 2.A.V 2.Y.V	2.0 1.5 0.8	0	15
82	a kind of fish	شلبه	shilba	EGYPTIAN ARABIC	82	s h i l b a	3 3 7 5 1 7	ACYMBZ	SHILPA	2	2.S.C 2.H.C 2.I.V 2.L.c 2.P.C 2.A.V	2.0 1.5 1.3 1.1 1.75 0.8	0	16
#
54	a kind of prayer	لبش	lubsh	EGYPTIAN ARABIC	54	l u b s h	5 7 1 3 3	AXBCN	LYPSH	2	2.L.C 2.Y.V 2.P.C 2.S.C 2.H.c	2.0 1.5 1.75 1.5 0.8	0	17
#
