ID	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID
1	yes	آ	ā	EGYPTIAN ARABIC	1
2	a prayer book for the Copts	أجبيه	ajbiya	EGYPTIAN ARABIC	2
3	a game of pebbles	آل	al	EGYPTIAN ARABIC	3
4	hell	أمندي	amandi	EGYPTIAN ARABIC	4
5	sexton	أمنوت	amnūt	EGYPTIAN ARABIC	5
6	title for Coptic priests	أنبا	anba	EGYPTIAN ARABIC	6
7	the portion of the field left for cultivating clover or beans	باق	bāg	EGYPTIAN ARABIC	7
8	bubble	بقلوله	baglūla	EGYPTIAN ARABIC	8
9	frog	بقرور	bagrūr	EGYPTIAN ARABIC	9
10	small basket	بقوطى	bagūti	EGYPTIAN ARABIC	10
11	to bluff	بلهم	balham	EGYPTIAN ARABIC	11
12	heron	بلشوم	balshūm	EGYPTIAN ARABIC	12
13	clover or alfafa	برسيم	barsīm	EGYPTIAN ARABIC	13
14	flamingo	بشروش	basharōsh	EGYPTIAN ARABIC	14
15	a word used by children when they try to frighten each other	بخ	bikh	EGYPTIAN ARABIC	15
16	site of a ruined temple	بربه	birba	EGYPTIAN ARABIC	16
17	cooked beans	بساره	bisāra	EGYPTIAN ARABIC	17
18	part of a plough	بسخه	biskha	EGYPTIAN ARABIC	18
19	a call of welcome during country weddings	بشوبش	bshōbesh	EGYPTIAN ARABIC	19
20	a kind of fish	بوري	būrī	EGYPTIAN ARABIC	20
21	mat made of palm leaves	برش	bursh	EGYPTIAN ARABIC	21
22	porridge	بوش	būsh	EGYPTIAN ARABIC	22
23	time of inundation	دميره	damīra	EGYPTIAN ARABIC	23
24	a wooden door lock	ضبه	dabbah	EGYPTIAN ARABIC	24
25	buttocks	فلت	falt	EGYPTIAN ARABIC	25
26	to flap the wings, especially when the bird is falling down	فرفر	farfar	EGYPTIAN ARABIC	26
27	to jump or run	فط	fatt	EGYPTIAN ARABIC	27
28	towel	فوطه	fūta	EGYPTIAN ARABIC	28
29	a fish	قشوه	gashwa	EGYPTIAN ARABIC	29
30	a kind of fish	قيل	gīl	EGYPTIAN ARABIC	30
31	garrulous or talkative	هجاص	hajjās	EGYPTIAN ARABIC	31
32	cobweb	هلوس	hallūs	EGYPTIAN ARABIC	32
33	to sit	همس	hammas	EGYPTIAN ARABIC	33
34	anchor	هوجل	hawjal	EGYPTIAN ARABIC	34
35	to bluff, mostly by talking roughly	هوش	hawwash	EGYPTIAN ARABIC	35
36	a bird	هيبه	hēba	EGYPTIAN ARABIC	36
37	matter, affair	هنيه	hnayye	EGYPTIAN ARABIC	37
38	cream cheese	حلوم	halūm	EGYPTIAN ARABIC	38
39	lizard	حندوس	handūs	EGYPTIAN ARABIC	39
40	carriage drawn by horses	حنطور	hantūr	EGYPTIAN ARABIC	40
41	he gave	إدى	idda	EGYPTIAN ARABIC	41
42	garment, the main dress of the Egyptian fellahin	جلابيه	jallābiyya	EGYPTIAN ARABIC	42
43	a call for help	جي	jay	EGYPTIAN ARABIC	43
44	crepitus ventris	جكس	juks	EGYPTIAN ARABIC	44
45	cake	كعكه	ka'ka	EGYPTIAN ARABIC	45
46	outer garment	كاكوله	kālkūla	EGYPTIAN ARABIC	46
47	to limp	كلج	kalaj	EGYPTIAN ARABIC	47
48	the corn cob after it is beaten to gather the kernels	كلوح	kalūh	EGYPTIAN ARABIC	48
49	misfortune or pain	كاس	kās	EGYPTIAN ARABIC	49
50	dirty	كخ	kekh	EGYPTIAN ARABIC	50
51	a kind of fish	لبيس	labīs	EGYPTIAN ARABIC	51
52	to be persistent	لج	lajj	EGYPTIAN ARABIC	52
53	ship's cable	لبان	libān	EGYPTIAN ARABIC	53
54	a kind of prayer	لبش	lubsh	EGYPTIAN ARABIC	54
55	a pot for kneading	ماجور	majūr	EGYPTIAN ARABIC	55
56	southerly	مريسى	marīsī	EGYPTIAN ARABIC	56
57	water to drink	مبو	mbū	EGYPTIAN ARABIC	57
58	fanfaron, boaster, blusterer	مهياص	mihyās	EGYPTIAN ARABIC	58
59	thither	مناو	mnāw	EGYPTIAN ARABIC	59
60	hither	مناى	mnāy	EGYPTIAN ARABIC	60
61	the winter crop of maize	نبارى	nabāri	EGYPTIAN ARABIC	61
62	yoke	ناف	nāf	EGYPTIAN ARABIC	62
63	heat of the day	نقره	nagra	EGYPTIAN ARABIC	63
64	delicate, nice, mignonne	ننوس	nannūs	EGYPTIAN ARABIC	64
65	big	نوش	nūsh	EGYPTIAN ARABIC	65
66	fever, typically typhoid	نوشه	nūsha	EGYPTIAN ARABIC	66
67	a measure of grain which is one-fourth of a kēla, used only in distant Upper Egypt	رفطاو	raftāw	EGYPTIAN ARABIC	67
68	small fish	رمروم	ramrūm	EGYPTIAN ARABIC	68
69	a kind of fish	راى	rāy	EGYPTIAN ARABIC	69
70	a plant, sapindus	ريته	rīta	EGYPTIAN ARABIC	70
71	special bread made of fine flour	سميط	samīt	EGYPTIAN ARABIC	71
72	oakum	ساس	sās	EGYPTIAN ARABIC	72
73	the second round of the Egyptian peasants' ball game	سنو	sennō	EGYPTIAN ARABIC	73
74	fog	شبوره	shabbūra	EGYPTIAN ARABIC	74
75	fish	شال	shāl	EGYPTIAN ARABIC	75
76	a kick	شلوت	shallūt	EGYPTIAN ARABIC	76
77	the fennel plant	شمر	shamar	EGYPTIAN ARABIC	77
78	to rise	شاشا	shāshā	EGYPTIAN ARABIC	78
79	beat with a whip	شوشو	shawshaw	EGYPTIAN ARABIC	79
80	wonder	شبار	shbar	EGYPTIAN ARABIC	80
81	bell	شقلقيل	shgilgīl	EGYPTIAN ARABIC	81
82	a kind of fish	شلبه	shilba	EGYPTIAN ARABIC	82
83	sack for straw	شنف	shinf	EGYPTIAN ARABIC	83
84	large drawers out of mode	شنتيان	shintyān	EGYPTIAN ARABIC	84
85	heat of the day	شوب	shōb	EGYPTIAN ARABIC	85
86	store house for grains	شونه	shūna	EGYPTIAN ARABIC	86
87	censor	شوريه	shūriya	EGYPTIAN ARABIC	87
88	small window	شوشه	shūsha	EGYPTIAN ARABIC	88
89	tuft of hair, crest	شوشه	shūsha	EGYPTIAN ARABIC	89
90	plough or plowshare	سكه	sikka	EGYPTIAN ARABIC	90
91	salty	صير	sīr	EGYPTIAN ARABIC	91
92	to spit	تف	taff	EGYPTIAN ARABIC	92
93	to become drunk	تخ	takhkh	EGYPTIAN ARABIC	93
94	crocodile	تمساح	timsāh	EGYPTIAN ARABIC	94
95	gather	توت	tūt	EGYPTIAN ARABIC	95
96	prayer	طبحه	tabha	EGYPTIAN ARABIC	96
97	border or boundary	طاش	tãsh	EGYPTIAN ARABIC	97
98	east wind	طياب	tayāb	EGYPTIAN ARABIC	98
99	invitation	طهمه	tohma	EGYPTIAN ARABIC	99
100	a brick	طوبه	tūba	EGYPTIAN ARABIC	100
101	axe	طوريه	tūrya	EGYPTIAN ARABIC	101
102	mill sound	أونى	ūni	EGYPTIAN ARABIC	102
103	oasis	واحه	wāha	EGYPTIAN ARABIC	103
104	to cry with pain, to bark	وحوح	wahwah	EGYPTIAN ARABIC	104
105	wood saw	وارشور	wãrshūr	EGYPTIAN ARABIC	105
106	a grain measure (two kēlas or one-sixth of an 'ardab)	ويبه	wēba	EGYPTIAN ARABIC	106
107	fresh	ورور	wirwir	EGYPTIAN ARABIC	107
108	large water pitcher	زير	zīr	EGYPTIAN ARABIC	108
109	flatus ventris	ظرطه	zarta	EGYPTIAN ARABIC	109
110	yea	ⲁϩⲁ	aha	COPTIC	1
111	hours	ⲁϫⲡⲓ	adpi	COPTIC	2
112	pebble	ⲁⲗ	al	COPTIC	3
113	hades or the western place	ⲁⲙⲉⲛϯ	amenti	COPTIC	4
114	porter, doorkeeper	ⲙⲛⲟⲩⲧ	mnout	COPTIC	5
115	title for Coptic priests	ⲁⲃⲃⲁ	abba	COPTIC	6
116	fragment	ⲡⲟⲕⲉ	poke	COPTIC	7
117	pitcher or jar	ⲡⲉⲕⲉⲗⲱⲗ	pekelōl	COPTIC	8
118	the frog	ⲡⲉⲕⲣⲟⲩⲣ	pekrour	COPTIC	9
119	small basket	ⲡⲕⲟⲧ	pkot	COPTIC	10
120	Blemmye, name of a people dwelling in the Christian period on the East of the Nile south of Philae, known for their bluffing	ⲃⲁⲗϩⲙⲟⲩ	balhmou	COPTIC	11
121	the heron	ⲡⲉⲗϭⲱⲃ	pelsHōm	COPTIC	12
122	clover	ⲃⲉⲣⲥⲓⲙ	bersim	COPTIC	13
123	the thing which is red	ⲡⲉⲧ-ⲫⲣⲉϣⲣⲱϣ	pet-phreshrōsh	COPTIC	14
124	the demon	ⲡⲓϧ	bih	COPTIC	15
125	the temple	ⲡⲣ︦ⲡⲉ	prpe	COPTIC	16
126	to cook beans	ⲡⲉⲥⲁⲣⲱ	pesarō	COPTIC	17
127	plough handle	ⲡⲓⲥϧⲟ	pisHo	COPTIC	18
128	reception, entertainment	ⲡϣⲟⲡⲥ	pshops	COPTIC	19
129	fish, nurgil cephalus	ⲃⲱⲣⲉ	bōre	COPTIC	20
130	to spread or something which is spread	ⲡⲱⲣϣ	pōrsh	COPTIC	21
131	gruel	ⲡⲟⲟⲩϣ	pooush	COPTIC	22
132	high water, inundation	ⲧⲉⲙⲏⲣⲉ	temēre	COPTIC	23
133	a wooden door lock	ⲧⲉⲡⲱ	tepō	COPTIC	24
134	thigh, hip	ⲃⲓⲗⲧⲓ	bilti	COPTIC	25
135	to fall, rush down	ϥⲟⲣϥⲉⲣ	forfer	COPTIC	26
136	to flee	ⲡⲱⲧ	pōt	COPTIC	27
137	to wipe	ϥⲱⲧⲉ	fōte	COPTIC	28
138	among fish	ⲕⲁϣⲟⲩ	kashou	COPTIC	29
139	a fish	ⲕⲏⲗ	kēl	COPTIC	30
140	the one who talks	ϩⲁϫⲟⲟⲥ	hadoos	COPTIC	31
141	spider's web	ϩⲁⲗⲟⲩⲥ	halous	COPTIC	32
142	to sit, dwell, remain	ϩⲙⲟⲟⲥ	hmoos	COPTIC	33
143	anchor	ϩⲁⲩϫⲁⲗ	haudal	COPTIC	34
144	to abuse or insult	ϩⲟⲟⲩϣ	hooush	COPTIC	35
145	the ibis bird	ϩⲓⲃⲱⲓ	hibōi	COPTIC	36
146	some(thing)	ϩⲟⲓⲛⲉ	hoine	COPTIC	37
147	cheese	ϩⲁⲗⲱⲙ	halōm	COPTIC	38
148	lizard	ϩⲁⲛⲧⲟⲩⲥ	hantous	COPTIC	39
149	horses	ϩⲧⲱⲱⲣ	htoor	COPTIC	40
150	to give	ϯ	ti	COPTIC	41
151	garment of wool	ϭⲟⲗⲃⲉ	cholbe	COPTIC	42
152	safety, health	ⲟⲩⲇⲁⲓ	oudai	COPTIC	43
153	crepitus ventris	ⲇⲟⲕⲥⲓ	doksi	COPTIC	44
154	cake	ⲕⲁⲕⲉ	kake	COPTIC	45
155	hood, cowl of monks	ⲕⲟⲩⲕⲗⲉ	koukle	COPTIC	46
156	to be bent	ⲕⲱⲗⲇ	kōld	COPTIC	47
157	to strike	ⲕⲱⲗϩ	kōlh	COPTIC	48
158	burial or corpse	ⲕⲏⲥ	kēs	COPTIC	49
159	soil, earth	ⲕⲁϩ	kah	COPTIC	50
160	fish cyprinus niloticus	ⲗⲁⲃⲏⲥ	labēs	COPTIC	51
161	be impudent, persistent	ⲗⲟϭ	loch	COPTIC	52
162	ship's cable	ⲗⲉⲃⲁⲛ	leban	COPTIC	53
163	a crown	ⲗⲱⲃϣ	lōbsh	COPTIC	54
164	a place to scatter	ⲙⲁⲇⲱⲡ	madōr	COPTIC	55
165	southern country	ⲙⲁⲣⲏⲥ	marēs	COPTIC	56
166	water to drink	ⲡⲙⲟⲟⲩ	mbū	COPTIC	57
167	full of hurry	ⲙⲉϩⲛⲓⲱⲥ	mehniōs	COPTIC	58
168	there	ⲙⲛⲏ	mnē	COPTIC	59
169	here	ⲙⲛⲁⲓ	mnai	COPTIC	60
170	grain	ⲛⲁⲡⲣⲉ	napri	COPTIC	61
171	yoke	ⲛⲁϩⲃ	nahb	COPTIC	62
172	strong sun	ⲛⲁⲕⲣⲏ	nakrē	COPTIC	63
173	it is nice	ⲛⲁⲛⲟⲩⲥ	nanous	COPTIC	64
174	great or big	ⲛⲟϭ	noch	COPTIC	65
175	stinking of disease	ⲛⲟⲟϣⲉ	nooshe	COPTIC	66
176	fraction of four or quarter	ⲣⲁϥⲧⲟⲟⲩ	raftoou	COPTIC	67
177	fish, tilapia	ⲣⲁⲙⲉ	rame	COPTIC	68
178	fish, alestes dentes	ⲣⲏⲓ	rēi	COPTIC	69
179	a plant, flower of laurus nobilis	ⲣⲓⲧⲁ	rita	COPTIC	70
180	fine flour	ⲥⲁⲙⲓⲧ	samit	COPTIC	71
181	towel	ⲥⲁⲁⲥⲉ	saase	COPTIC	72
182	two	ⲥⲛⲁⲩ	snau	COPTIC	73
183	the change of the sun	ϣⲃⲣⲏ	shbre	COPTIC	74
184	fish	ⲕⲏⲗ	kēl	COPTIC	75
185	foot	ϭⲁⲗⲟⲇ	chalod	COPTIC	76
186	fennel	ⲥⲁⲙⲁϩⲏⲣ	samahēr	COPTIC	77
187	to rise	ϣⲁ	sha	COPTIC	78
188	strike, thresh	ⲟⲩⲟϣⲟⲩⲉϣ	ouoshouesh	COPTIC	79
189	wonder	ϣⲡⲉⲣⲉ	shpere	COPTIC	80
190	bell	ⲱⲕⲓⲗⲕⲓⲗ	shkilkil	COPTIC	81
191	fish, silurus mystus	ϭⲗⲃⲟⲟⲩ	shlboou	COPTIC	82
192	basket or crate	ⲇⲛⲟϥ	dnof	COPTIC	83
193	robe of linen	ϣⲉⲛⲧⲱ	shentō	COPTIC	84
194	fire or to scorch	ϣⲟⲡϩ	shoph	COPTIC	85
195	store house for grains	ⲱⲉⲩⲛⲉ	sheune	COPTIC	86
196	censor	ⲱⲟⲩⲣⲏ	shourē	COPTIC	87
197	window	ϣⲟⲩϣⲧ	shousht	COPTIC	88
198	single lock or plait of hair	ⲇⲓⲇⲱⲓ	didōi	COPTIC	89
199	to plough or ploughing	ⲥⲕⲁⲓ	ckai	COPTIC	90
200	brine	ⲇⲓⲣ	dir	COPTIC	91
201	to spit	ⲧⲁϥ	taf	COPTIC	92
202	be drunken	ⲧⲁϩⲉ	tahe	COPTIC	93
203	the crocodile	ⲧⲉⲙⲥⲁϩ	temsah	COPTIC	94
204	be gathered or collected	ⲧⲟⲟⲩⲧⲉ	tooute	COPTIC	95
205	pray	ⲧⲱⲃϩ	tōbh	COPTIC	96
206	limit, boundary	ⲧⲁϣ	tash	COPTIC	97
207	wind of the east	ⲧⲟⲩⲉⲓⲉⲃⲧ	toueiebt	COPTIC	98
208	to invite	ⲧⲱϩⲉⲙ	tōhem	COPTIC	99
209	a brick	ⲧⲱⲃⲉ	tōbe	COPTIC	100
210	spade or pick	ⲧⲱⲣⲓ	tōri	COPTIC	101
211	mill sound	ⲉⲩⲛⲓ	euni	COPTIC	102
212	oasis	ⲟⲩⲁϩⲉ	ouahe	COPTIC	103
213	bark, growl	ⲟⲩⲁϩⲃⲉϩ	ouahbeh	COPTIC	104
214	saw	ⲃⲁϣⲟⲩⲣ	bashour	COPTIC	105
215	measure of grain, less than an 'ardab	ⲟⲓⲡⲉ	oipe	COPTIC	106
216	young or fresh	ⲃⲣⲣⲉ	brre	COPTIC	107
217	jar	ⲥⲓⲣ	sir	COPTIC	108
